Grade,Membre
,2
Artiste visuel,1
Cheffe de projet IT,1
Chercheur émérite,1
Chercheure,1
Docteur,2
Docteur - ATER,1
Docteur (SIC) - Artiste,1
Docteur qualifié MCF,1
Docteure,1
Doctorant,24
Doctorante,37
Doctorante (ATER),1
entreprise ingies,1
Etudiante,1
IR HDR,1
Maître de conférences,46
Maître de conférences HDR,6
Maître de conférences HDR émérite,1
Maître de conférences retraité,1
MAST,1
PAST,2
PAST (jusqu'au 2022),1
PAST (qualifié),1
Professeur,18
Professeur associé,2
Professeur émérite,3
Professeure,1
Professeure associée,1
Psychologue,1
Web Master,1